team,total_matches,total_goals_scored,total_goals_conceded,goal_difference,avg_goals_scored_per_match
Manchester City,408,914,355,559,2.24
Liverpool,407,775,446,329,1.9
Arsenal,407,737,464,273,1.81
Manchester United,408,736,407,329,1.8
Chelsea,407,733,419,314,1.8
Tottenham Hotspur,405,698,446,252,1.72
Everton,406,567,506,61,1.4
West Ham United,368,473,552,-79,1.29
Newcastle United,369,430,560,-130,1.17
Southampton,331,423,453,-30,1.28
Leicester City,256,384,335,49,1.5
West Bromwich Albion,332,363,501,-138,1.09
Stoke City,304,326,422,-96,1.07
Crystal Palace,292,324,413,-89,1.11
Aston Villa,292,308,469,-161,1.05
Swansea City,266,306,383,-77,1.15
Sunderland,266,280,400,-120,1.05
Fulham,218,243,353,-110,1.11
AFC Bournemouth,189,241,329,-88,1.28
Wolverhampton Wanderers,180,212,271,-59,1.18
Watford,190,212,305,-93,1.12
Burnley,218,211,301,-90,0.97
Norwich City,190,186,328,-142,0.98
Brighton and Hove Albion,141,135,203,-68,0.96
Wigan Athletic,114,129,196,-67,1.13
Queens Park Rangers,114,115,199,-84,1.01
Hull City,114,108,184,-76,0.95
Bolton Wanderers,76,98,133,-35,1.29
Blackburn Rovers,76,94,137,-43,1.24
Cardiff City,76,66,143,-77,0.87
Sheffield United,66,55,84,-29,0.83
Blackpool,38,55,78,-23,1.45
Huddersfield Town,76,50,134,-84,0.66
Reading,38,43,73,-30,1.13
Leeds United,26,43,44,-1,1.65
Birmingham City,38,37,58,-21,0.97
Middlesbrough,38,27,53,-26,0.71
