team,total_matches,total_wins,total_losses,total_draws,win_rate_percentage
Manchester City,408,275,67,66,67.4
Manchester United,408,232,78,98,56.86
Chelsea,407,229,88,90,56.27
Liverpool,407,223,89,95,54.79
Tottenham Hotspur,405,216,97,92,53.33
Arsenal,407,215,99,93,52.83
Leicester City,256,107,90,59,41.8
Everton,406,160,128,118,39.41
Southampton,331,112,129,90,33.84
Crystal Palace,292,94,135,63,32.19
West Ham United,368,118,153,97,32.07
Newcastle United,369,117,166,86,31.71
Wolverhampton Wanderers,180,56,76,48,31.11
Swansea City,266,82,118,66,30.83
Stoke City,304,93,125,86,30.59
Burnley,218,65,97,56,29.82
AFC Bournemouth,189,56,90,43,29.63
Watford,190,56,92,42,29.47
Bolton Wanderers,76,22,38,16,28.95
Sheffield United,66,18,34,14,27.27
West Bromwich Albion,332,88,148,96,26.51
Blackpool,38,10,19,9,26.32
Fulham,218,57,104,57,26.15
Wigan Athletic,114,29,51,34,25.44
Blackburn Rovers,76,19,40,17,25
Aston Villa,292,73,143,76,25
Sunderland,266,64,124,78,24.06
Hull City,114,27,62,25,23.68
Norwich City,190,44,99,47,23.16
Brighton and Hove Albion,141,32,62,47,22.7
Cardiff City,76,17,46,13,22.37
Birmingham City,38,8,15,15,21.05
Queens Park Rangers,114,22,66,26,19.3
Reading,38,6,22,10,15.79
Huddersfield Town,76,12,47,17,15.79
Middlesbrough,38,5,20,13,13.16
