team_1,team_2,matchup_count,total_goals,avg_goals
Arsenal,Liverpool,21,78,3.71
Liverpool,Manchester City,22,75,3.41
Manchester City,Tottenham Hotspur,22,73,3.32
Liverpool,West Ham United,20,69,3.45
Arsenal,Tottenham Hotspur,21,68,3.24
Liverpool,Tottenham Hotspur,22,66,3.0
Manchester City,Newcastle United,19,65,3.42
Arsenal,West Ham United,19,63,3.32
Everton,Manchester United,22,63,2.86
Chelsea,Tottenham Hotspur,22,62,2.82
Manchester United,Newcastle United,20,62,3.1
Arsenal,Manchester City,22,61,2.77
Manchester City,West Ham United,20,61,3.05
Arsenal,Chelsea,21,60,2.86
Crystal Palace,Liverpool,15,60,4.0
Chelsea,Liverpool,22,59,2.68
Everton,Newcastle United,20,59,2.95
Manchester City,Manchester United,22,59,2.68
Southampton,Tottenham Hotspur,17,59,3.47
Chelsea,Everton,21,58,2.76
