team_1,team_2,matchup_count,total_goals,avg_goals
Liverpool,Manchester City,22,75,3.41
Manchester City,Tottenham Hotspur,22,73,3.32
Liverpool,Tottenham Hotspur,22,66,3.0
Everton,Manchester United,22,63,2.86
Chelsea,Tottenham Hotspur,22,62,2.82
Arsenal,Manchester City,22,61,2.77
Manchester City,Manchester United,22,59,2.68
Chelsea,Liverpool,22,59,2.68
Arsenal,Manchester United,22,56,2.55
Everton,Liverpool,22,54,2.45
Chelsea,Manchester United,22,53,2.41
Arsenal,Liverpool,21,78,3.71
Arsenal,Tottenham Hotspur,21,68,3.24
Arsenal,Chelsea,21,60,2.86
Chelsea,Everton,21,58,2.76
Arsenal,Everton,21,57,2.71
Everton,Manchester City,21,56,2.67
Everton,Tottenham Hotspur,21,52,2.48
Chelsea,Manchester City,21,52,2.48
Liverpool,Manchester United,21,48,2.29
