team_1,team_2,matchup_count,total_goal_diff,avg_goal_diff
Manchester City,Newcastle United,19,43,2.26
Manchester City,Tottenham Hotspur,22,43,1.95
Liverpool,West Ham United,20,39,1.95
Manchester City,West Bromwich Albion,18,38,2.11
Arsenal,West Ham United,19,37,1.95
Aston Villa,Manchester City,15,37,2.47
Liverpool,Manchester City,22,37,1.68
Manchester City,West Ham United,20,35,1.75
Chelsea,Everton,21,34,1.62
Liverpool,Tottenham Hotspur,22,34,1.55
Manchester United,Newcastle United,20,34,1.7
Chelsea,Newcastle United,20,33,1.65
Manchester City,Watford,10,33,3.3
Chelsea,Manchester City,21,32,1.52
Crystal Palace,Manchester City,15,32,2.13
Liverpool,Newcastle United,19,32,1.68
Arsenal,Aston Villa,16,31,1.94
Arsenal,Manchester City,22,31,1.41
Manchester City,Manchester United,22,31,1.41
Manchester United,Tottenham Hotspur,21,31,1.48
