team_1,team_2,matchup_count,total_goal_diff,avg_goal_diff
Manchester United,Wigan Athletic,6,20,3.33
Manchester City,Watford,10,33,3.3
Liverpool,Watford,10,29,2.9
Brighton and Hove Albion,Manchester City,7,19,2.71
AFC Bournemouth,Manchester City,10,25,2.5
Manchester City,Norwich City,10,25,2.5
Aston Villa,Manchester City,15,37,2.47
Manchester United,Queens Park Rangers,6,14,2.33
Manchester City,Newcastle United,19,43,2.26
Burnley,Manchester City,12,27,2.25
AFC Bournemouth,Liverpool,9,20,2.22
AFC Bournemouth,Tottenham Hotspur,10,22,2.2
Chelsea,Wigan Athletic,6,13,2.17
Hull City,Tottenham Hotspur,6,13,2.17
Queens Park Rangers,Swansea City,6,13,2.17
Crystal Palace,Manchester City,15,32,2.13
Manchester City,West Bromwich Albion,18,38,2.11
Liverpool,Norwich City,10,21,2.1
Manchester United,Norwich City,10,21,2.1
Fulham,Manchester City,11,23,2.09
