team_1,team_2,matchup_count,total_goal_diff,avg_goal_diff
Manchester City,Tottenham Hotspur,22,43,1.95
Liverpool,Manchester City,22,37,1.68
Liverpool,Tottenham Hotspur,22,34,1.55
Manchester City,Manchester United,22,31,1.41
Arsenal,Manchester City,22,31,1.41
Everton,Manchester United,22,29,1.32
Chelsea,Tottenham Hotspur,22,26,1.18
Arsenal,Manchester United,22,26,1.18
Everton,Liverpool,22,24,1.09
Chelsea,Manchester United,22,23,1.05
Chelsea,Liverpool,22,23,1.05
Chelsea,Everton,21,34,1.62
Chelsea,Manchester City,21,32,1.52
Arsenal,Liverpool,21,30,1.43
Arsenal,Chelsea,21,30,1.43
Everton,Manchester City,21,28,1.33
Arsenal,Everton,21,27,1.29
Liverpool,Manchester United,21,22,1.05
Everton,Tottenham Hotspur,21,22,1.05
Arsenal,Tottenham Hotspur,21,22,1.05
