metric,value
Total Matches,4070
Total Seasons,11
Total Teams,37
Average Matches per Season,370.0
First Match,2010-08-14
Last Match,2021-03-07
Total Goals,11137
Average Goals per Match,2.74
0-0 Matches,304
Matches with > 3 Goals,1216
Matches with = 3 Goals,915
Matches with < 3 Goals,1939
Home Wins,1835
Away Wins,1235
Draws,1000
Home Win Percentage,45.09
Away Win Percentage,30.34
Draw Percentage,24.57
Average Cards per Match,3.38
Average Yellow Cards per Match,3.24
Average Red Cards per Match,0.14
Maximum Cards in a Match,12
