team_1,team_2,total_matches
Arsenal,Manchester City,22
Arsenal,Manchester United,22
Chelsea,Liverpool,22
Chelsea,Manchester United,22
Chelsea,Tottenham Hotspur,22
Everton,Liverpool,22
Everton,Manchester United,22
Liverpool,Manchester City,22
Liverpool,Tottenham Hotspur,22
Manchester City,Manchester United,22
Manchester City,Tottenham Hotspur,22
Arsenal,Chelsea,21
Arsenal,Everton,21
Arsenal,Liverpool,21
Arsenal,Tottenham Hotspur,21
Chelsea,Everton,21
Chelsea,Manchester City,21
Everton,Manchester City,21
Everton,Tottenham Hotspur,21
Liverpool,Manchester United,21
