team_1,team_2,matchup_count,total_goals,avg_goals
Liverpool,Norwich City,10,45,4.5
Manchester City,Norwich City,10,45,4.5
Manchester City,Watford,10,41,4.1
Crystal Palace,Liverpool,15,60,4.0
AFC Bournemouth,Everton,10,39,3.9
AFC Bournemouth,West Ham United,10,38,3.8
Arsenal,Liverpool,21,78,3.71
Chelsea,Watford,10,37,3.7
Liverpool,Watford,10,37,3.7
Manchester City,Wolverhampton Wanderers,10,37,3.7
Leicester City,Tottenham Hotspur,13,48,3.69
Chelsea,Sunderland,14,50,3.57
Arsenal,Fulham,11,39,3.55
AFC Bournemouth,Manchester City,10,35,3.5
Aston Villa,Southampton,12,42,3.5
Southampton,Tottenham Hotspur,17,59,3.47
Liverpool,West Ham United,20,69,3.45
Burnley,Chelsea,12,41,3.42
Manchester City,Newcastle United,19,65,3.42
Liverpool,Manchester City,22,75,3.41
